vn,ve,vd
0.399999976,0.029999999,0.879999995
0.399999976,0.029999999,0.879999995
0.399999976,0.029999999,0.879999995
0.399999976,0.029999999,0.879999995
0.409999996,0.329999983,0.74000001
0.409999996,0.329999983,0.74000001
0.409999996,0.329999983,0.74000001
0.409999996,0.329999983,0.74000001
0.409999996,0.329999983,0.74000001
0.409999996,0.329999983,0.74000001
0.579999983,-0.099999994,0.620000005
0.579999983,-0.099999994,0.620000005
0.579999983,-0.099999994,0.620000005
0.579999983,-0.099999994,0.620000005
0.579999983,-0.099999994,0.620000005
0.579999983,-0.099999994,0.620000005
0.649999976,0.25,0.779999971
0.649999976,0.25,0.779999971
0.649999976,0.25,0.779999971
0.649999976,0.25,0.779999971
0.649999976,0.25,0.779999971
0.649999976,0.25,0.779999971
0.370000005,0.459999979,0.930000007
0.370000005,0.459999979,0.930000007
0.370000005,0.459999979,0.930000007
0.370000005,0.459999979,0.930000007
0.370000005,0.459999979,0.930000007
0.370000005,0.459999979,0.930000007
0.5,0.310000002,0.97999996
0.5,0.310000002,0.97999996
0.5,0.310000002,0.97999996
0.5,0.310000002,0.97999996
0.5,0.310000002,0.97999996
0.5,0.310000002,0.97999996
0.579999983,0.049999997,0.699999988
0.579999983,0.049999997,0.699999988
0.579999983,0.049999997,0.699999988
0.579999983,0.049999997,0.699999988
0.579999983,0.049999997,0.699999988
0.579999983,0.049999997,0.699999988
0.409999996,0.099999994,0.479999989
0.409999996,0.099999994,0.479999989
0.409999996,0.099999994,0.479999989
0.409999996,0.099999994,0.479999989
0.409999996,0.099999994,0.479999989
0.409999996,0.099999994,0.479999989
0.269999981,-0.089999996,0.25
0.269999981,-0.089999996,0.25
0.269999981,-0.089999996,0.25
0.269999981,-0.089999996,0.25
0.269999981,-0.089999996,0.25
0.269999981,-0.089999996,0.25
0.219999999,-0.199999988,-0.049999997
0.219999999,-0.199999988,-0.049999997
0.219999999,-0.199999988,-0.049999997
0.219999999,-0.199999988,-0.049999997
0.219999999,-0.199999988,-0.049999997
0.219999999,-0.199999988,-0.049999997
0.029999999,-0.25,0.049999997
0.029999999,-0.25,0.049999997
0.029999999,-0.25,0.049999997
0.029999999,-0.25,0.049999997
0.029999999,-0.25,0.049999997
0.029999999,-0.25,0.049999997
0.419999987,0.129999995,0.02
0.419999987,0.129999995,0.02
0.419999987,0.129999995,0.02
0.419999987,0.129999995,0.02
0.419999987,0.129999995,0.02
0.419999987,0.129999995,0.02
0.129999995,-0.109999999,-0.149999991
0.129999995,-0.109999999,-0.149999991
0.129999995,-0.109999999,-0.149999991
0.129999995,-0.109999999,-0.149999991
0.129999995,-0.109999999,-0.149999991
0.129999995,-0.109999999,-0.149999991
0.079999998,-0.359999985,-0.48999998
0.079999998,-0.359999985,-0.48999998
0.079999998,-0.359999985,-0.48999998
0.079999998,-0.359999985,-0.48999998
0.079999998,-0.359999985,-0.48999998
0.079999998,-0.359999985,-0.48999998
0.0,-0.189999998,-0.579999983
0.0,-0.189999998,-0.579999983
0.0,-0.189999998,-0.579999983
0.0,-0.189999998,-0.579999983
0.0,-0.189999998,-0.579999983
0.0,-0.189999998,-0.579999983
0.07,-0.099999994,-0.72999996
0.07,-0.099999994,-0.72999996
0.07,-0.099999994,-0.72999996
0.07,-0.099999994,-0.72999996
0.07,-0.099999994,-0.72999996
0.07,-0.099999994,-0.72999996
-0.119999997,-0.259999991,-0.72999996
-0.119999997,-0.259999991,-0.72999996
-0.119999997,-0.259999991,-0.72999996
-0.119999997,-0.259999991,-0.72999996
-0.119999997,-0.259999991,-0.72999996
-0.119999997,-0.259999991,-0.72999996
-0.099999994,-0.07,-0.409999996
-0.099999994,-0.07,-0.409999996
-0.099999994,-0.07,-0.409999996
-0.099999994,-0.07,-0.409999996
-0.099999994,-0.07,-0.409999996
-0.099999994,-0.07,-0.409999996
0.119999997,0.179999992,-0.349999994
0.119999997,0.179999992,-0.349999994
0.119999997,0.179999992,-0.349999994
0.119999997,0.179999992,-0.349999994
0.119999997,0.179999992,-0.349999994
0.119999997,0.179999992,-0.349999994
0.219999999,0.039999999,-0.389999986
0.219999999,0.039999999,-0.389999986
0.219999999,0.039999999,-0.389999986
0.219999999,0.039999999,-0.389999986
0.219999999,0.039999999,-0.389999986
0.219999999,0.039999999,-0.389999986
-0.109999999,-0.310000002,-0.159999996
-0.109999999,-0.310000002,-0.159999996
-0.109999999,-0.310000002,-0.159999996
-0.109999999,-0.310000002,-0.159999996
-0.109999999,-0.310000002,-0.159999996
-0.109999999,-0.310000002,-0.159999996
-0.01,-0.399999976,-0.229999989
-0.01,-0.399999976,-0.229999989
-0.01,-0.399999976,-0.229999989
-0.01,-0.399999976,-0.229999989
-0.01,-0.399999976,-0.229999989
-0.01,-0.399999976,-0.229999989
0.379999995,0.199999988,-0.229999989
0.379999995,0.199999988,-0.229999989
0.379999995,0.199999988,-0.229999989
0.379999995,0.199999988,-0.229999989
0.379999995,0.199999988,-0.229999989
0.379999995,0.199999988,-0.229999989
0.109999999,-0.02,-0.149999991
0.109999999,-0.02,-0.149999991
0.109999999,-0.02,-0.149999991
0.109999999,-0.02,-0.149999991
0.109999999,-0.02,-0.149999991
